C,C1,C2
1.98e-10,1.8e-10,1.8e-11
1.98e-10,1.8e-11,1.8e-10
1.9999999999999998e-10,9.999999999999999e-11,9.999999999999999e-11
2.02e-10,1.2e-10,8.2e-11
2.02e-10,1.8e-10,2.1999999999999998e-11
2.02e-10,2.1999999999999998e-11,1.8e-10
2.02e-10,8.2e-11,1.2e-10
2.06e-10,1.5e-10,5.6e-11
2.06e-10,5.6e-11,1.5e-10
2.07e-10,1.8e-10,2.7e-11
2.07e-10,2.7e-11,1.8e-10
2.13e-10,1.8e-10,3.3e-11
2.13e-10,3.3e-11,1.8e-10
2.18e-10,1.5e-10,6.8e-11
2.18e-10,6.8e-11,1.5e-10
2.19e-10,1.8e-10,3.9e-11
2.19e-10,3.9e-11,1.8e-10
2.2e-10,0,2.2e-10
2.2e-10,9.999999999999999e-11,1.2e-10
2.2e-10,1.2e-10,9.999999999999999e-11
2.2e-10,2.2e-10,0
2.27e-10,1.8e-10,4.7e-11
2.27e-10,4.7e-11,1.8e-10
2.2999999999999998e-10,2.2e-10,1e-11
2.2999999999999998e-10,1e-11,2.2e-10
2.32e-10,1.5e-10,8.2e-11
2.32e-10,2.2e-10,1.2e-11
2.32e-10,1.2e-11,2.2e-10
2.32e-10,8.2e-11,1.5e-10
2.35e-10,2.2e-10,1.5e-11
2.35e-10,1.5e-11,2.2e-10
2.36e-10,1.8e-10,5.6e-11
2.36e-10,5.6e-11,1.8e-10
2.38e-10,2.2e-10,1.8e-11
2.38e-10,1.8e-11,2.2e-10
2.4e-10,1.2e-10,1.2e-10
2.42e-10,2.2e-10,2.1999999999999998e-11
2.42e-10,2.1999999999999998e-11,2.2e-10
2.47e-10,2.2e-10,2.7e-11
2.47e-10,2.7e-11,2.2e-10
2.4799999999999997e-10,1.8e-10,6.8e-11
2.4799999999999997e-10,6.8e-11,1.8e-10
2.4999999999999996e-10,9.999999999999999e-11,1.5e-10
2.4999999999999996e-10,1.5e-10,9.999999999999999e-11
2.53e-10,2.2e-10,3.3e-11
2.53e-10,3.3e-11,2.2e-10
2.59e-10,2.2e-10,3.9e-11
2.59e-10,3.9e-11,2.2e-10
2.62e-10,1.8e-10,8.2e-11
2.62e-10,8.2e-11,1.8e-10
2.67e-10,2.2e-10,4.7e-11
2.67e-10,4.7e-11,2.2e-10
2.7e-10,0,2.7e-10
2.7e-10,1.2e-10,1.5e-10
2.7e-10,1.5e-10,1.2e-10
2.7e-10,2.7e-10,0
2.76e-10,2.2e-10,5.6e-11
2.76e-10,5.6e-11,2.2e-10
2.7999999999999996e-10,9.999999999999999e-11,1.8e-10
2.7999999999999996e-10,1.8e-10,9.999999999999999e-11
2.8e-10,2.7e-10,1e-11
2.8e-10,1e-11,2.7e-10
2.82e-10,2.7e-10,1.2e-11
2.82e-10,1.2e-11,2.7e-10
2.85e-10,2.7e-10,1.5e-11
2.85e-10,1.5e-11,2.7e-10
2.88e-10,2.2e-10,6.8e-11
2.88e-10,2.7e-10,1.8e-11
2.88e-10,1.8e-11,2.7e-10
2.88e-10,6.8e-11,2.2e-10
2.9199999999999997e-10,2.7e-10,2.1999999999999998e-11
2.9199999999999997e-10,2.1999999999999998e-11,2.7e-10
2.97e-10,2.7e-10,2.7e-11
2.97e-10,2.7e-11,2.7e-10
3e-10,1.2e-10,1.8e-10
3e-10,1.5e-10,1.5e-10
3e-10,1.8e-10,1.2e-10
3.02e-10,2.2e-10,8.2e-11
3.02e-10,8.2e-11,2.2e-10
3.03e-10,2.7e-10,3.3e-11
3.03e-10,3.3e-11,2.7e-10
